DateID,FullDate
2481,2023-07-28
2482,2023-07-29
2483,2023-07-30
2484,2023-07-31
2485,2023-08-01
2486,2023-08-02
2487,2023-08-03
2488,2023-08-04
2489,2023-08-05
2490,2023-08-06
2491,2023-08-07
2492,2023-08-08
2493,2023-08-09
2494,2023-08-10
2495,2023-08-11
2496,2023-08-12
2497,2023-08-13
2498,2023-08-14
2499,2023-08-15
2500,2023-08-16
2501,2023-08-17
2502,2023-08-18
2503,2023-08-19
2504,2023-08-20
2505,2023-08-21
2506,2023-08-22
2507,2023-08-23
2508,2023-08-24
2509,2023-08-25
2510,2023-08-26
2511,2023-08-27
2512,2023-08-28
2513,2023-08-29
2514,2023-08-30
2515,2023-08-31
2516,2023-09-01
2517,2023-09-02
2518,2023-09-03
2519,2023-09-04
2520,2023-09-05
2521,2023-09-06
2522,2023-09-07
2523,2023-09-08
2524,2023-09-09
2525,2023-09-10
2526,2023-09-11
2527,2023-09-12
2528,2023-09-13
2529,2023-09-14
2530,2023-09-15
2531,2023-09-16
2532,2023-09-17
2533,2023-09-18
2534,2023-09-19
2535,2023-09-20
2536,2023-09-21
2537,2023-09-22
2538,2023-09-23
2539,2023-09-24
2540,2023-09-25
2541,2023-09-26
2542,2023-09-27
2543,2023-09-28
2544,2023-09-29
2545,2023-09-30
2546,2023-10-01
2547,2023-10-02
2548,2023-10-03
2549,2023-10-04
2550,2023-10-05
2551,2023-10-06
2552,2023-10-07
2553,2023-10-08
2554,2023-10-09
2555,2023-10-10
2556,2023-10-11
2557,2023-10-12
2558,2023-10-13
2559,2023-10-14
2560,2023-10-15
2561,2023-10-16
2562,2023-10-17
2563,2023-10-18
2564,2023-10-19
2565,2023-10-20
2566,2023-10-21
2567,2023-10-22
2568,2023-10-23
2569,2023-10-24
2570,2023-10-25
2571,2023-10-26
2572,2023-10-27
2573,2023-10-28
2574,2023-10-29
2575,2023-10-30
2576,2023-10-31
2577,2023-11-01
2578,2023-11-02
2579,2023-11-03
2580,2023-11-04
2581,2023-11-05
2582,2023-11-06
2583,2023-11-07
2584,2023-11-08
2585,2023-11-09
2586,2023-11-10
2587,2023-11-11
2588,2023-11-12
2589,2023-11-13
2590,2023-11-14
2591,2023-11-15
2592,2023-11-16
2593,2023-11-17
2594,2023-11-18
2595,2023-11-19
2596,2023-11-20
2597,2023-11-21
2598,2023-11-22
2599,2023-11-23
2600,2023-11-24
2601,2023-11-25
2602,2023-11-26
2603,2023-11-27
2604,2023-11-28
2605,2023-11-29
